,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
104,t451,0,45.0,0,Stelasyn,Male,8,29
105,a963,0,45.0,0,Stelasyn,Female,23,27
106,m269,0,45.0,0,Stelasyn,Female,22,28
107,g989,0,45.0,0,Propriva,Female,21,26
108,z314,0,45.0,0,Stelasyn,Female,21,28
109,o848,0,45.0,0,Stelasyn,Female,14,27
110,v719,0,45.0,0,Infubinol,Female,17,30
111,q597,0,45.0,0,Ramicane,Male,20,25
112,c895,0,45.0,0,Infubinol,Female,7,29
113,a203,0,45.0,0,Infubinol,Female,20,23
114,f394,0,45.0,0,Zoniferol,Male,19,30
115,c264,0,45.0,0,Zoniferol,Female,11,27
116,n967,0,45.0,0,Zoniferol,Male,11,27
117,f545,0,45.0,0,Zoniferol,Female,20,26
118,k894,0,45.0,0,Zoniferol,Female,13,29
119,k754,0,45.0,0,Zoniferol,Female,8,26
120,g296,0,45.0,0,Zoniferol,Female,14,29
121,d164,0,45.0,0,Zoniferol,Male,21,28
122,w575,0,45.0,0,Zoniferol,Female,16,28
123,x613,0,45.0,0,Zoniferol,Female,2,29
124,q633,0,45.0,0,Zoniferol,Male,12,25
125,b313,0,45.0,0,Zoniferol,Male,12,27
126,f129,0,45.0,0,Zoniferol,Female,11,29
127,j365,0,45.0,0,Zoniferol,Male,24,28
128,p136,0,45.0,0,Zoniferol,Female,5,28
129,c559,0,45.0,0,Zoniferol,Female,19,28
130,a788,0,45.0,0,Zoniferol,Male,5,30
131,s337,0,45.0,0,Zoniferol,Male,14,27
132,q511,0,45.0,0,Zoniferol,Female,2,28
133,m331,0,45.0,0,Zoniferol,Female,19,26
134,o926,0,45.0,0,Zoniferol,Male,15,29
135,d133,0,45.0,0,Zoniferol,Male,5,30
136,n630,0,45.0,0,Propriva,Female,15,29
137,g989,0,45.0,0,Propriva,Female,21,26
138,a401,0,45.0,0,Zoniferol,Female,8,25
139,w350,0,45.0,0,Propriva,Male,7,26
140,c302,0,45.0,0,Zoniferol,Female,10,29
141,a897,0,45.0,0,Placebo,Male,7,28
142,j235,0,45.0,0,Placebo,Male,6,30
143,q787,0,45.0,0,Placebo,Male,17,27
144,a262,0,45.0,0,Placebo,Female,17,29
145,r850,0,45.0,0,Placebo,Male,5,30
146,i669,0,45.0,0,Placebo,Female,18,27
147,n763,0,45.0,0,Placebo,Female,16,25
148,s152,0,45.0,0,Placebo,Female,4,30
149,c766,0,45.0,0,Placebo,Female,13,26
150,e227,0,45.0,0,Placebo,Male,1,30
151,c282,0,45.0,0,Placebo,Male,12,27
152,v989,0,45.0,0,Placebo,Male,4,25
153,w140,0,45.0,0,Zoniferol,Female,19,30
154,v409,0,45.0,0,Placebo,Female,16,25
155,l872,0,45.0,0,Placebo,Male,19,30
156,o795,0,45.0,0,Placebo,Female,20,26
157,y478,0,45.0,0,Placebo,Female,3,25
158,q582,0,45.0,0,Placebo,Male,5,30
159,s166,0,45.0,0,Placebo,Male,19,27
160,x773,0,45.0,0,Placebo,Female,21,30
161,w167,0,45.0,0,Placebo,Female,6,28
162,t718,0,45.0,0,Placebo,Female,10,30
163,o302,0,45.0,0,Placebo,Female,2,29
164,i477,0,45.0,0,Placebo,Female,3,30
165,c757,0,45.0,0,Placebo,Male,9,27
166,t994,0,45.0,0,Placebo,Male,14,30
167,p310,0,45.0,0,Propriva,Male,6,26
168,a699,0,45.0,0,Propriva,Female,5,28
169,k603,0,45.0,0,Propriva,Male,2,27
170,x822,0,45.0,0,Ceftamin,Male,3,29
171,l558,0,45.0,0,Ceftamin,Female,13,30
172,l733,0,45.0,0,Ceftamin,Female,4,30
173,f436,0,45.0,0,Ceftamin,Female,3,25
174,l490,0,45.0,0,Ceftamin,Male,24,26
175,b759,0,45.0,0,Ceftamin,Female,12,25
176,l471,0,45.0,0,Ceftamin,Female,7,28
177,y865,0,45.0,0,Ceftamin,Male,23,26
178,y769,0,45.0,0,Ceftamin,Female,6,27
179,l661,0,45.0,0,Ceftamin,Male,18,26
180,j296,0,45.0,0,Ceftamin,Female,24,30
181,u149,0,45.0,0,Ceftamin,Male,24,29
182,u153,0,45.0,0,Ceftamin,Female,11,25
183,w151,0,45.0,0,Ceftamin,Male,24,25
184,h531,0,45.0,0,Ceftamin,Male,5,27
185,a685,0,45.0,0,Infubinol,Male,8,30
186,o813,0,45.0,0,Infubinol,Male,24,28
187,m756,0,45.0,0,Infubinol,Male,19,30
188,n671,0,45.0,0,Infubinol,Male,18,25
189,s121,0,45.0,0,Infubinol,Male,23,26
190,v766,0,45.0,0,Infubinol,Male,16,27
191,w193,0,45.0,0,Infubinol,Male,22,30
192,e476,0,45.0,0,Infubinol,Male,23,26
193,w584,0,45.0,0,Infubinol,Male,3,29
194,b447,0,45.0,0,Ceftamin,Male,2,30
195,k210,0,45.0,0,Ceftamin,Male,15,28
196,a275,0,45.0,0,Ceftamin,Female,20,28
197,x581,0,45.0,0,Ceftamin,Female,19,28
198,n482,0,45.0,0,Propriva,Female,4,29
199,t198,0,45.0,0,Propriva,Male,22,26
200,l215,0,45.0,0,Propriva,Male,10,29
201,s141,0,45.0,0,Propriva,Male,8,25
202,o523,0,45.0,0,Propriva,Female,6,25
203,i635,0,45.0,0,Propriva,Male,21,26
204,w746,0,45.0,0,Propriva,Male,1,26
205,r107,0,45.0,0,Propriva,Female,2,28
206,s187,0,45.0,0,Propriva,Male,22,25
207,g570,0,45.0,0,Propriva,Male,16,29
208,x209,0,45.0,0,Propriva,Female,7,29
209,x111,0,45.0,0,Propriva,Female,24,27
210,z435,0,45.0,0,Propriva,Female,12,26
211,n678,0,45.0,0,Propriva,Male,5,29
212,g558,0,45.0,0,Propriva,Male,8,29
213,u946,0,45.0,0,Propriva,Male,5,30
214,o562,0,45.0,0,Propriva,Female,4,25
215,v991,0,45.0,0,Propriva,Female,10,30
216,c927,0,45.0,0,Propriva,Female,4,26
217,x226,0,45.0,0,Ceftamin,Male,23,28
218,p438,0,45.0,0,Ceftamin,Female,11,26
219,b487,0,45.0,0,Ceftamin,Female,6,28
220,o287,0,45.0,0,Ceftamin,Male,2,28
221,q483,0,45.0,0,Ceftamin,Male,6,26
222,t573,0,45.0,0,Ceftamin,Female,15,27
223,f345,0,45.0,0,Infubinol,Male,23,26
224,i334,0,45.0,0,Ramicane,Female,8,20
225,l264,0,45.0,0,Ketapril,Female,15,30
226,j246,0,45.0,0,Capomulin,Female,21,21
227,r554,0,45.0,0,Capomulin,Female,8,17
228,s185,0,45.0,0,Capomulin,Female,3,17
229,b742,0,45.0,0,Capomulin,Male,7,21
230,x401,0,45.0,0,Capomulin,Female,16,15
231,l509,0,45.0,0,Capomulin,Male,17,21
232,s710,0,45.0,0,Capomulin,Female,1,23
233,r157,0,45.0,0,Capomulin,Male,22,25
234,u364,0,45.0,0,Capomulin,Male,18,17
235,j119,0,45.0,0,Capomulin,Female,7,23
236,v923,0,45.0,0,Capomulin,Female,19,21
237,w914,0,45.0,0,Capomulin,Male,24,21
238,i738,0,45.0,0,Capomulin,Female,23,20
239,r944,0,45.0,0,Capomulin,Male,12,25
240,y793,0,45.0,0,Capomulin,Male,17,17
241,g316,0,45.0,0,Capomulin,Female,22,22
242,g288,0,45.0,0,Capomulin,Male,3,19
243,l897,0,45.0,0,Capomulin,Male,17,19
244,w150,0,45.0,0,Capomulin,Male,23,23
245,t565,0,45.0,0,Capomulin,Female,20,17
246,i557,0,45.0,0,Capomulin,Female,1,24
247,m957,0,45.0,0,Capomulin,Female,3,19
248,f966,0,45.0,0,Capomulin,Male,16,17
249,m601,0,45.0,0,Capomulin,Male,22,17
250,a275,5,46.79525728,0,Ceftamin,Female,20,28
251,w575,5,48.91385977,1,Zoniferol,Female,16,28
252,x822,5,45.67110442,1,Ceftamin,Male,3,29
253,l509,5,45.85119285,0,Capomulin,Male,17,21
254,n304,5,46.43121629,0,Naftisol,Male,9,26
255,d164,5,46.61767061,0,Zoniferol,Male,21,28
256,l897,5,45.46224327,0,Capomulin,Male,17,19
257,l558,5,45.80908882,0,Ceftamin,Female,13,30
258,g296,5,46.59323337,0,Zoniferol,Female,14,29
259,c458,5,45.72227949,0,Ramicane,Female,23,20
260,a401,5,46.11198591,0,Zoniferol,Female,8,25
261,l700,5,45.91837165,0,Naftisol,Female,18,27
262,f234,5,47.31349062,0,Stelasyn,Male,14,28
263,x613,5,46.09704058,0,Zoniferol,Female,2,29
264,u149,5,45.79206792,0,Ceftamin,Male,24,29
265,k210,5,47.91899771,0,Ceftamin,Male,15,28
266,x402,5,46.32757027,1,Stelasyn,Male,21,28
267,q610,5,45.62949421,0,Ramicane,Female,18,21
268,x581,5,47.1969266,0,Ceftamin,Female,19,28
269,a492,5,46.40914339,0,Stelasyn,Male,20,25
270,m133,5,46.62130127,0,Naftisol,Female,2,26
271,l725,5,48.73631881,1,Naftisol,Female,8,26
272,q633,5,47.18380215,0,Zoniferol,Male,12,25
273,f129,5,47.00059399,0,Zoniferol,Female,11,29
274,q483,5,46.77681624,1,Ceftamin,Male,6,26
275,a444,5,44.00597487,0,Ramicane,Female,10,25
276,v835,5,47.15601071,0,Naftisol,Male,7,29
277,r604,5,47.06774448,1,Naftisol,Male,7,30
278,f394,5,47.03309963,0,Zoniferol,Male,19,30
279,y865,5,46.73500592,1,Ceftamin,Male,23,26
280,d251,5,41.74635495,1,Ramicane,Female,8,19
281,b313,5,47.15443254,0,Zoniferol,Male,12,27
282,y769,5,46.42265176,1,Ceftamin,Female,6,27
283,z234,5,46.12935706,1,Naftisol,Female,19,27
284,b559,5,47.40989731,0,Naftisol,Male,20,26
285,f993,5,46.39575966,0,Naftisol,Male,21,28
286,q119,5,47.86444,0,Ketapril,Male,17,30
287,j989,5,45.62071835,1,Ramicane,Male,8,19
288,w150,5,39.20212894,0,Capomulin,Male,23,23
289,n923,5,45.82488099,0,Ketapril,Male,19,30
290,y449,5,45.87754494,0,Ramicane,Male,19,24
291,l661,5,46.26879904,0,Ceftamin,Male,18,26
292,c302,5,47.69067986,1,Zoniferol,Female,10,29
293,c264,5,45.79170389,0,Zoniferol,Female,11,27
294,l471,5,46.25187204,0,Ceftamin,Female,7,28
295,x930,5,46.07823375,0,Naftisol,Male,13,26
296,k754,5,45.7277604,0,Zoniferol,Female,8,26
297,f436,5,46.37079759,1,Ceftamin,Female,3,25
298,v295,5,46.11181797,1,Naftisol,Female,2,27
299,j913,5,44.01490022,0,Ramicane,Female,4,17
300,s710,5,43.1809774,0,Capomulin,Female,1,23
301,z969,5,49.33299873,0,Naftisol,Male,9,30
302,k894,5,47.64568674,0,Zoniferol,Female,13,29
303,l490,5,45.61253918,1,Ceftamin,Male,24,26
304,b759,5,48.00919049,0,Ceftamin,Female,12,25
305,a411,5,45.46667714,0,Ramicane,Male,3,22
306,f545,5,46.56581263,0,Zoniferol,Female,20,26
307,o725,5,46.88982098,0,Naftisol,Male,4,26
308,y601,5,48.47500273,1,Naftisol,Female,23,25
309,w914,5,45.89372032,0,Capomulin,Male,24,21
310,n967,5,46.07719173,1,Zoniferol,Male,11,27
311,l733,5,46.17422627,0,Ceftamin,Female,4,30
312,m601,5,41.40859145,1,Capomulin,Male,22,17
313,b487,5,46.21397739,0,Ceftamin,Female,6,28
314,o287,5,45.58680362,0,Ceftamin,Male,2,28
315,p310,5,46.55853236,1,Propriva,Male,6,26
316,r107,5,48.51342027,0,Propriva,Female,2,28
317,s565,5,48.24255218,0,Stelasyn,Female,3,29
318,w350,5,48.23211311,0,Propriva,Male,7,26
319,s187,5,47.57671761,1,Propriva,Male,22,25
320,j984,5,48.41072109,1,Stelasyn,Female,2,30
321,w697,5,48.30182261,1,Stelasyn,Female,14,30
322,j755,5,47.24284357,0,Naftisol,Male,23,27
323,g570,5,47.65642436,1,Propriva,Male,16,29
324,u364,5,45.76088647,1,Capomulin,Male,18,17
325,x209,5,46.75426887,0,Propriva,Female,7,29
326,c402,5,49.3426301,1,Stelasyn,Female,1,27
327,b742,5,41.53409702,0,Capomulin,Male,7,21
328,n630,5,46.09909969,0,Propriva,Female,15,29
329,g989,5,48.78680146,0,Propriva,Female,21,26
330,e213,5,45.69925018,1,Naftisol,Male,8,27
331,a366,5,48.95136773,0,Stelasyn,Female,16,29
332,w746,5,49.45327005,0,Propriva,Male,1,26
333,s141,5,45.83113434,0,Propriva,Male,8,25
334,i901,5,46.49302392,0,Stelasyn,Male,23,29
335,t198,5,47.46126052,0,Propriva,Male,22,26
336,b879,5,49.15615628,1,Stelasyn,Female,4,26
337,k603,5,46.04211582,0,Propriva,Male,2,27
338,o523,5,45.54470008,0,Propriva,Female,6,25
339,v923,5,45.70443431,0,Capomulin,Female,19,21
340,f966,5,38.79647373,0,Capomulin,Male,16,17
341,p387,5,48.66763075,0,Stelasyn,Male,3,30
342,g867,5,46.88074916,0,Stelasyn,Female,9,25
343,i635,5,47.23593715,0,Propriva,Male,21,26
344,s619,5,46.60226878,0,Stelasyn,Male,22,30
345,a699,5,46.55308986,0,Propriva,Female,5,28
346,q132,5,46.7163985,1,Infubinol,Female,1,30
347,k862,5,49.20305786,0,Stelasyn,Female,13,25
348,h333,5,45.75172728,0,Stelasyn,Male,21,27
349,x401,5,45.47375302,0,Capomulin,Female,16,15
350,o926,5,46.76116373,0,Zoniferol,Male,15,29
351,c927,5,46.35184205,0,Propriva,Female,4,26
352,c559,5,46.56263793,0,Zoniferol,Female,19,28
353,r701,5,46.88697137,0,Naftisol,Male,21,25
354,j119,5,45.83899787,0,Capomulin,Female,7,23
355,p438,5,46.82793418,0,Ceftamin,Female,11,26
356,m269,5,49.0111801,0,Stelasyn,Female,22,28
357,a963,5,46.23350581,0,Stelasyn,Female,23,27
358,p136,5,49.27397096,0,Zoniferol,Female,5,28
359,t724,5,46.35925829,0,Naftisol,Female,2,25
360,g989,5,47.57039208,0,Propriva,Female,21,26
361,z314,5,45.93471217,0,Stelasyn,Female,21,28
362,a818,5,45.69670864,0,Naftisol,Female,12,28
363,v764,5,47.05418474,0,Stelasyn,Female,5,30
364,j365,5,46.7112611,0,Zoniferol,Male,24,28
365,i557,5,42.2616653,0,Capomulin,Female,1,24
366,x264,5,47.0384145,0,Naftisol,Female,21,27
367,v991,5,49.21432799,1,Propriva,Female,10,30
368,a788,5,47.00658024,0,Zoniferol,Male,5,30
369,x111,5,46.94101498,1,Propriva,Female,24,27
370,k510,5,46.6084671,0,Stelasyn,Female,8,27
371,z435,5,47.11597963,0,Propriva,Female,12,26
372,e584,5,45.6569785,0,Naftisol,Male,9,27
373,m331,5,45.52301371,1,Zoniferol,Female,19,26
374,n678,5,47.55428429,0,Propriva,Male,5,29
375,p981,5,47.00062717,0,Stelasyn,Male,20,29
376,g558,5,46.18874193,0,Propriva,Male,8,29
377,e291,5,46.14250486,0,Naftisol,Female,14,29
378,q511,5,45.83265378,0,Zoniferol,Female,2,28
379,u946,5,45.9918078,1,Propriva,Male,5,30
380,z795,5,46.83347493,0,Naftisol,Female,13,29
381,t451,5,48.04713882,0,Stelasyn,Male,8,29
382,s337,5,46.84985157,0,Zoniferol,Male,14,27
383,o562,5,46.51495016,1,Propriva,Female,4,25
384,w540,5,45.88537038,1,Stelasyn,Female,8,26
385,w140,5,47.71795156,0,Zoniferol,Female,19,30
386,l215,5,49.48194935,1,Propriva,Male,10,29
387,y793,5,41.01991315,0,Capomulin,Male,17,17
388,n763,5,46.08598142,0,Placebo,Female,16,25
389,a203,5,48.5084684,0,Infubinol,Female,20,23
390,w584,5,46.05193075,0,Infubinol,Male,3,29
391,y163,5,48.28497016,0,Infubinol,Female,17,27
392,o973,5,46.71787727,0,Ketapril,Female,11,29
393,o795,5,46.76092721,1,Placebo,Female,20,26
394,w422,5,48.45745927,0,Ketapril,Female,18,26
395,e662,5,45.81628252,0,Ramicane,Male,8,24
396,g791,5,45.85153062,0,Ramicane,Male,11,16
397,c580,5,46.6284548,0,Ketapril,Male,22,25
398,e476,5,47.11180113,0,Infubinol,Male,23,26
399,k483,5,46.61105571,0,Infubinol,Female,20,30
400,y478,5,48.64107818,1,Placebo,Female,3,25
401,i669,5,46.76466824,1,Placebo,Female,18,27
402,d474,5,45.91835225,0,Ketapril,Male,18,27
403,w193,5,45.49385802,0,Infubinol,Male,22,30
404,q582,5,45.95539895,1,Placebo,Male,5,30
405,s166,5,47.18678778,0,Placebo,Male,19,27
406,o331,5,47.05966408,1,Ketapril,Male,24,30
407,k382,5,46.27499735,1,Ketapril,Male,22,29
408,k804,5,48.26620364,0,Infubinol,Female,23,29
409,r850,5,46.86291194,0,Placebo,Male,5,30
410,g316,5,44.02275246,0,Capomulin,Female,22,22
411,v766,5,48.15125091,1,Infubinol,Male,16,27
412,g497,5,48.78206878,0,Ketapril,Male,19,28
413,a520,5,38.72370695,0,Ramicane,Male,13,21
414,x773,5,45.8508307,1,Placebo,Female,21,30
415,m550,5,49.05409736,1,Ketapril,Male,18,28
416,t994,5,47.8914871,0,Placebo,Male,14,30
417,n364,5,45.52187471,0,Ramicane,Male,4,17
418,l264,5,46.66876646,0,Ketapril,Female,15,30
419,e227,5,47.23801112,0,Placebo,Male,1,30
420,c326,5,36.3213458,0,Infubinol,Female,18,25
421,r157,5,45.59706359,0,Capomulin,Male,22,25
422,c766,5,47.31305537,0,Placebo,Female,13,26
423,v719,5,47.18836325,0,Infubinol,Female,17,30
424,w678,5,43.16637266,0,Ramicane,Female,5,24
425,c139,5,48.75311208,0,Infubinol,Male,11,28
426,m546,5,42.99887638,0,Ramicane,Male,18,16
427,v339,5,46.25011212,0,Infubinol,Male,20,26
428,s152,5,47.4590529,1,Placebo,Female,4,30
429,m650,5,48.56249492,1,Ketapril,Male,15,27
430,c282,5,45.72568973,0,Placebo,Male,12,27
431,v989,5,48.85813451,0,Placebo,Male,4,25
432,r944,5,45.73714484,0,Capomulin,Male,12,25
433,r554,5,45.78174579,1,Capomulin,Female,8,17
434,c895,5,45.47754399,0,Infubinol,Female,7,29
435,v409,5,46.22079642,0,Placebo,Female,16,25
436,u196,5,45.55746444,1,Ramicane,Male,18,25
437,c832,5,48.68546123,1,Ketapril,Male,18,29
438,v289,5,46.20446003,0,Ketapril,Female,3,26
439,a897,5,45.69112405,1,Placebo,Male,7,28
440,f345,5,45.5911466,0,Infubinol,Male,23,26
441,s508,5,38.71187185,0,Ramicane,Male,1,17
442,a577,5,46.1977199,1,Infubinol,Female,6,25
443,z578,5,42.18878662,0,Ramicane,Male,11,16
444,i177,5,44.06539783,0,Ramicane,Male,10,18
445,a644,5,45.55015754,0,Ramicane,Female,7,17
446,c757,5,47.78327981,0,Placebo,Male,9,27
447,s185,5,43.87849569,0,Capomulin,Female,3,17
448,i738,5,45.59568527,0,Capomulin,Female,23,20
449,m756,5,47.01036401,1,Infubinol,Male,19,30
450,o813,5,45.69933088,0,Infubinol,Male,24,28
451,j246,5,45.64143788,0,Capomulin,Female,21,21
452,a685,5,46.87048256,0,Infubinol,Male,8,30
453,r811,5,45.62580225,0,Ramicane,Male,9,19
454,h246,5,49.47041702,0,Ketapril,Male,13,30
455,q597,5,45.76611104,0,Ramicane,Male,20,25
456,a251,5,46.98212719,0,Infubinol,Female,21,25
457,q787,5,47.11661587,0,Placebo,Male,17,27
458,c758,5,45.5786783,0,Ramicane,Male,9,17
459,u327,5,45.69418805,0,Ketapril,Male,17,25
460,t565,5,45.8956472,0,Capomulin,Female,20,17
461,c819,5,45.76924864,1,Ketapril,Male,21,25
462,o302,5,48.93701188,0,Placebo,Female,2,29
463,h531,5,47.7846818,0,Ceftamin,Male,5,27
464,i477,5,46.65738471,0,Placebo,Female,3,30
465,w151,5,45.54607595,1,Ceftamin,Male,24,25
466,y260,5,46.79983867,0,Ketapril,Female,7,25
467,r921,5,45.56821083,0,Ramicane,Female,5,25
468,a457,5,47.462891,0,Ketapril,Female,11,30
469,j296,5,46.79925591,1,Ceftamin,Female,24,30
470,w167,5,48.78627194,0,Placebo,Female,6,28
471,a262,5,48.71756819,1,Placebo,Female,17,29
472,b128,5,45.65133131,0,Capomulin,Female,9,22
473,n671,5,47.35388938,0,Infubinol,Male,18,25
474,g288,5,45.83939976,0,Capomulin,Male,3,19
475,v603,5,46.01600593,0,Ketapril,Female,22,30
476,i334,5,41.02051821,0,Ramicane,Female,8,20
477,k403,5,38.82589807,0,Ramicane,Male,21,16
478,p189,5,49.04870704,1,Ketapril,Male,8,28
479,o809,5,46.87724316,0,Infubinol,Male,3,25
480,g107,5,48.79166496,0,Ketapril,Female,2,29
481,t718,5,45.92125272,1,Placebo,Female,10,30
482,i386,5,46.85369669,1,Infubinol,Female,23,29
483,s121,5,45.63566174,1,Infubinol,Male,23,26
484,z581,5,49.27309187,1,Infubinol,Female,24,25
485,f278,5,48.19457788,0,Ketapril,Male,12,30
486,j235,5,46.58881978,0,Placebo,Male,6,30
487,m957,5,45.62238149,1,Capomulin,Female,3,19
488,e291,10,48.52974125,1,Naftisol,Female,14,29
489,u946,10,46.73050592,1,Propriva,Male,5,30
490,g558,10,50.09475382,0,Propriva,Male,8,29
491,i386,10,49.86154739,2,Infubinol,Female,23,29
492,e584,10,47.25064148,0,Naftisol,Male,9,27
493,o523,10,47.0810859,1,Propriva,Female,6,25
494,i635,10,48.68575605,1,Propriva,Male,21,26
495,b879,10,50.33894583,1,Stelasyn,Female,4,26
496,u327,10,49.23525948,0,Ketapril,Male,17,25
497,n678,10,49.14570866,1,Propriva,Male,5,29
498,r554,10,39.0054935,2,Capomulin,Female,8,17
499,z435,10,48.71066147,0,Propriva,Female,12,26
500,s565,10,52.7775271,0,Stelasyn,Female,3,29
501,g497,10,49.6470865,0,Ketapril,Male,19,28
502,s187,10,48.14635121,1,Propriva,Male,22,25
503,o809,10,48.6707318,0,Infubinol,Male,3,25
504,z581,10,50.47875016,2,Infubinol,Female,24,25
505,r107,10,49.18601052,0,Propriva,Female,2,28
506,k804,10,49.47124419,0,Infubinol,Female,23,29
507,a366,10,53.52399007,0,Stelasyn,Female,16,29
508,j755,10,48.16706083,0,Naftisol,Male,23,27
509,g570,10,49.18823167,1,Propriva,Male,16,29
510,d474,10,46.97496297,0,Ketapril,Male,18,27
511,c832,10,49.81141262,1,Ketapril,Male,18,29
